PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15
A9700191,SECOND STREET CHILDRENS SCHOOL,2,3,2430 E 2ND ST,TUCSON,4019,19,AZ,4,85719,5203272124,178,6,No,,56,14,,,,,,,,,,,,,70,14,0,0,1,0,8,0,5,2.9,11,1,7,1,3,1,0,0,7.14,0,57.14,0,35.71,4.82,30,PIMA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
A1592150,SEDONA SKY ACADEMY,12,17,PO BOX 230,RIMROCK,4025,25,AZ,4,86335,9285671322,180,6.08,Yes,,,,,,,,,,2,4,6,5,3,2,22,22,0,0,3,0,17,0,2,4,41,2,6,2,3,4,0,0,13.63,0,77.27,0,9.09,5.5,30,YAVAPAI,National Independent Private Schools Association (NIPSA),Other school association(s),,,,,,,,,,,,,
31491,SETON CATHOLIC PREPARATORY HIGH SCHOOL,14,17,1150 N DOBSON RD,CHANDLER,4013,13,AZ,4,85224,4809631900,180,7,Yes,,,,,,,,,,,,141,129,135,139,544,544,0,0,208,0,336,0,0,53.5,11,1,1,2,1,1,0,0,38.23,0,61.76,0,0,10.16,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A1170278,SHEARIM TORAH HIGH SCHOOL,14,17,715 E SIERRA VISTA DR,PHOENIX,4013,13,AZ,4,85014,6023243406,180,8.16,Yes,,,,,,,,,,,,11,18,6,14,49,49,0,0,1,0,48,0,0,11.6,11,2,1,2,2,1,0,0,2.04,0,97.95,0,0,4.22,18,MARICOPA,National Society for Hebrew Day Schools (Torah Umesorah),Prizmah: Center for Jewish Day Schools (PRIZMAH),,,,,,,,,,,,,
A2100211,SHEARIM TORAH HIGH SCHOOL,14,17,715 E SIERRA VISTA DR,PHOENIX,4013,13,AZ,4,85014,6023243406,165,8.16,Yes,,,,,,,,,,,,11,18,6,14,49,49,0,0,0,0,49,0,0,8.8,11,2,3,2,2,1,0,0,0,0,100,0,0,5.56,18,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
K9300078,SHEPHERD OF THE DESERT LUTHERAN SCHOOL,4,4,9400 E MOUNTAIN VIEW RD,SCOTTSDALE,4013,13,AZ,4,85258,4808600488,169,6.25,No,,,9,,,,,,,,,,,,,9,9,0,0,0,0,7,0,2,1.1,12,1,7,1,2,1,0,0,0,0,77.77,0,22.22,8.18,20,MARICOPA,Other religious school association(s),,,,,,,,,,,,,,
A1700080,SIERRA ACADEMY OF SCOTTSDALE,7,17,9128 E SAN SALVADOR DR,SCOTTSDALE,4013,13,AZ,4,85258,4807678659,180,6.5,Yes,,,,,4,1,4,4,4,,1,9,3,5,6,41,41,2,1,4,2,31,0,1,8,12,1,4,3,3,1,4.87,2.43,9.75,4.87,75.6,0,2.43,5.12,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
A2100214,SIERRA SCHOOL GILBERT,3,17,875 S COOPER RD,GILBERT,4013,13,AZ,4,85233,4804560942,180,6,Yes,2,,1,3,1,,1,4,2,2,1,4,4,3,1,29,29,0,3,2,1,23,0,0,4,21,1,4,3,3,2,0,10.34,6.89,3.44,79.31,0,0,7.25,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
A1500073,SIERRA SCHOOL OF PEORIA,6,17,8155 W THUNDERBIRD RD,PEORIA,4013,13,AZ,4,85381,6232091000,180,8,No,,,,1,2,2,5,2,11,10,9,10,11,7,16,86,86,0,0,20,9,51,0,6,9,21,1,4,3,3,2,0,0,23.25,10.46,59.3,0,6.97,9.55,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
A0507092,SONSHINE CHRISTIAN SCHOOL,2,10,1916 N FRANK REED RD,NOGALES,4023,23,AZ,4,85621,5202810356,180,6.5,Yes,,34,8,8,7,13,11,11,,,,,,,,92,58,0,0,57,0,1,0,0,6.9,33,1,1,1,2,3,0,0,98.27,0,1.72,0,0,8.4,5,SANTA CRUZ,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,
A0700053,SOUTHWEST INDIAN SCHOOLS/LIVING WORD ACADEMY,3,15,PO BOX 2927,SELLS,4013,13,AZ,4,85634,5203838424,180,6,Yes,,,1,,,,,,,1,2,2,2,,,8,8,8,0,0,0,0,0,0,2,21,1,1,3,2,2,100,0,0,0,0,0,0,4,8,MARICOPA,Accelerated Christian Education (ACE) (or School of Tomorrow),,,,,,,,,,,,,,
A1900145,SOUTHWESTERN ACADEMY,11,17,2800 MONTEREY RD,SAN MARINO,4025,25,CA,4,91108,6267995010,177,8.66,Yes,,,,,,,,,6,11,19,18,18,19,22,113,113,7,29,22,13,34,3,5,16.5,42,1,1,3,3,4,6.19,25.66,19.46,11.5,30.08,2.65,4.42,6.84,30,YAVAPAI,State or regional independent school association,The Association of Boarding Schools (TABS),,,,,,,,,,,,,
A9700195,SOUTHWESTERN CHRISTIAN SCHOOL,3,13,3261 S AVE 6 E,YUMA,4027,27,AZ,4,85365,9287263086,179,7,Yes,,,19,36,36,20,20,16,26,20,20,,,,,213,213,6,2,46,3,136,1,19,13.6,13,1,1,1,2,1,2.81,0.93,21.59,1.4,63.84,0.46,8.92,15.66,8,YUMA,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,
A1300090,SPONDEO PRESCHOOL,2,3,2680 S VAL VISTA DR STE 157,GILBERT,4013,13,AZ,4,85295,4803743911,230,8,No,,92,3,,,,,,,,,,,,,95,3,0,0,0,0,3,0,0,2,21,1,2,1,3,2,0,0,0,0,100,0,0,1.5,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
