,PSS_SCHOOL_ID,PSS_INST,LOGRADE,HIGRADE,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15,FULL_ADDRESS,COORDINATE,DISTRICTS
259,A1500108,TANQUE VERDE LUTHERAN PRESCHOOL & KINDERGARTEN,2,3,8625 E TANQUE VERDE RD,TUCSON,4019,19,AZ,4,85749,5207491738,180.0,6.0,Yes,,111.0,19.0,,,,,,,,,,,,,130.0,19.0,1.0,1.0,4.0,0.0,12.0,1.0,0.0,1.8,11,1,7,1,2,1,5.26,5.26,21.05,0.0,63.15,5.26,0.0,10.55,8,PIMA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"8625 E TANQUE VERDE RD,TUCSON,AZ",POINT (-110.8075222 32.2586056),['Tucson Unified District']
260,2002312,TEMPE MONTESSORI SCHOOL LTD,2,10,410 S EL DORADO,MESA,4013,13,AZ,4,85202,4809667606,183.0,6.5,Yes,60.0,60.0,20.0,6.0,,2.0,2.0,3.0,,,,,,,,153.0,93.0,0.0,0.0,5.0,3.0,85.0,0.0,0.0,3.0,11,1,2,1,3,1,0.0,0.0,5.37,3.22,91.39,0.0,0.0,31.0,30,MARICOPA,Association Montessori International (AMI),,,,,,,,,,,,,,,"410 S EL DORADO,MESA,AZ",POINT (-111.8874043 33.4072114),['Mesa Unified District']
261,A1900152,THE ALEXANDRIA ACADEMY,8,17,13940 W MEEKER BLVD # 115/ # 180,SUN CITY WEST,4013,13,AZ,4,85375,8186197779,180.0,4.0,No,6.0,,,,,1.0,1.0,1.0,,,,,,,1.0,10.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,1.8,21,1,6,3,3,2,0.0,0.0,20.0,0.0,20.0,0.0,60.0,5.55,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"13940 W MEEKER BLVD # 115/ # 180,SUN CITY WEST,AZ",POINT (-112.3607952 33.6605109),['School District Not Defined']
262,A2100228,THE BRIDGE SCHOOL,3,17,13185 W THOMAS RD,GOODYEAR,4013,13,AZ,4,85395,7139742066,,6.0,No,,,2.0,,2.0,1.0,,1.0,2.0,4.0,5.0,23.0,23.0,8.0,10.0,81.0,81.0,,,,,,,,10.0,22,1,1,3,3,2,,,,,,,,8.1,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"13185 W THOMAS RD,GOODYEAR,AZ",POINT (-112.3429809 33.4776044),['Litchfield Elementary District']
263,A0507103,THE FAMILY SCHOOL,2,3,1127 W MCDOWELL RD,PHOENIX,4013,13,AZ,4,85007,6022525866,183.0,6.0,No,,43.0,14.0,,,,,,,,,,,,,57.0,14.0,0.0,0.0,8.0,1.0,5.0,0.0,0.0,2.3,11,1,7,1,3,1,0.0,0.0,57.14,7.14,35.71,0.0,0.0,6.08,30,MARICOPA,National Association for the Education of Young Children (NAEYC),,,,,,,,,,,,,,,"1127 W MCDOWELL RD,PHOENIX,AZ",POINT (-112.0882737 33.4656052),"['Phoenix Union High School District', 'Phoenix Elementary District']"
264,A0500095,THE FOUNDATION FOR BLIND CHILDREN,2,9,1234 E NORTHERN AVE,PHOENIX,4013,13,AZ,4,85020,6023311470,180.0,5.58,Yes,,50.0,5.0,18.0,5.0,3.0,2.0,,,,,,,,,83.0,33.0,1.0,0.0,15.0,0.0,17.0,0.0,0.0,12.4,11,1,4,1,3,1,3.03,0.0,45.45,0.0,51.51,0.0,0.0,2.66,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"1234 E NORTHERN AVE,PHOENIX,AZ",POINT (-112.0551711 33.5536679),"['Glendale Union High School District', 'Washington Elementary District']"
265,A1970305,THE GODDARD SCHOOL,2,3,13235 W THOMAS RD BLDG A,GOODYEAR,4013,13,AZ,4,85395,6235368185,230.0,7.0,No,,139.0,13.0,,,,,,,,,,,,,152.0,13.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,1.0,22,1,7,1,3,2,0.0,0.0,23.07,15.38,61.53,0.0,0.0,13.0,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"13235 W THOMAS RD BLDG A,GOODYEAR,AZ",POINT (-112.3437426 33.4781073),"['Agua Fria Union High School District', 'Litchfield Elementary District']"
266,2004047,THE GREGORY SCHOOL,10,17,3231 N CRAYCROFT RD,TUCSON,4019,19,AZ,4,85712,5203276395,175.0,6.66,Yes,,,,,,,,23.0,46.0,53.0,54.0,40.0,49.0,28.0,41.0,334.0,334.0,1.0,19.0,32.0,9.0,209.0,0.0,64.0,48.4,11,1,1,3,3,1,0.29,5.68,9.58,2.69,62.57,0.0,19.16,6.9,30,PIMA,National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,,,"3231 N CRAYCROFT RD,TUCSON,AZ",POINT (-110.8777617 32.266009),['Tucson Unified District']
267,A1790024,THE JONES-GORDON SCHOOL,6,17,4800 E DOUBLETREE RANCH RD,PARADISE VALLEY,4013,13,AZ,4,85253,4805635588,181.0,6.75,Yes,,,,3.0,9.0,12.0,11.0,12.0,16.0,16.0,14.0,11.0,14.0,14.0,14.0,146.0,146.0,,,,,,,,25.6,21,1,4,3,3,2,,,,,,,,5.7,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"4800 E DOUBLETREE RANCH RD,PARADISE VALLEY,AZ",POINT (-111.9767917 33.5687544),['Scottsdale Unified District']
268,BB220019,THE UNITED SCHOOL OF AUTISM,6,16,9590 E SHEA BLVD BLDG C,SCOTTSDALE,4013,13,AZ,4,85260,4808601339,180.0,6.75,Yes,,,,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,4.0,4.0,2.0,,71.0,71.0,0.0,1.0,3.0,2.0,60.0,1.0,4.0,20.0,12,1,4,3,3,1,0.0,1.4,4.22,2.81,84.5,1.4,5.63,3.55,30,MARICOPA,Other special emphasis association(s),Other school association(s),,,,,,,,,,,,,,"9590 E SHEA BLVD BLDG C,SCOTTSDALE,AZ",POINT (-111.8757365 33.5831226),['Scottsdale Unified District']
269,33331,THUNDERBIRD ADVENTIST ACADEMY,14,17,7410 E SUTTON DR,SCOTTSDALE,4013,13,AZ,4,85260,4809483300,180.0,8.0,Yes,,,,,,,,,,,,36.0,27.0,33.0,30.0,126.0,126.0,3.0,10.0,56.0,10.0,35.0,0.0,12.0,9.9,12,1,1,2,2,1,2.38,7.93,44.44,7.93,27.77,0.0,9.52,12.72,28,MARICOPA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,,,,,,,,,"7410 E SUTTON DR,SCOTTSDALE,AZ",POINT (-111.9208911 33.6084051),['Paradise Valley Unified District']
270,AA000211,THUNDERBIRD CHRISTIAN ELEMENTARY SCHOOL,3,13,7440 E SUTTON DR,SCOTTSDALE,4013,13,AZ,4,85260,4809916705,180.0,7.0,Yes,,,7.0,6.0,5.0,9.0,10.0,10.0,6.0,12.0,15.0,,,,,80.0,80.0,0.0,6.0,30.0,5.0,35.0,4.0,0.0,5.0,12,1,1,1,2,1,0.0,7.5,37.5,6.25,43.75,5.0,0.0,16.0,28,MARICOPA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,,,,,,,,,"7440 E SUTTON DR,SCOTTSDALE,AZ",POINT (-111.9200368 33.608187),['Paradise Valley Unified District']
271,A1500113,TORAH DAY SCHOOL OF PHOENIX,2,13,1118 W GLENDALE AVE,PHOENIX,4013,13,AZ,4,85021,6023743062,180.0,8.5,Yes,,98.0,31.0,40.0,28.0,32.0,43.0,25.0,38.0,33.0,34.0,,,,,402.0,304.0,0.0,0.0,3.0,1.0,300.0,0.0,0.0,28.0,11,1,1,1,2,1,0.0,0.0,0.98,0.32,98.68,0.0,0.0,10.85,18,MARICOPA,National Society for Hebrew Day Schools (Torah Umesorah),Other school association(s),,,,,,,,,,,,,,"1118 W GLENDALE AVE,PHOENIX,AZ",POINT (-112.0885298 33.5392276),['Washington Elementary District']
272,32859,TRI-CITY CHRISTIAN ACADEMY,3,17,2211 W GERMANN RD,CHANDLER,4013,13,AZ,4,85286,4802457902,168.0,7.5,Yes,,,20.0,22.0,18.0,20.0,22.0,23.0,18.0,24.0,14.0,12.0,12.0,20.0,10.0,235.0,235.0,0.0,30.0,50.0,15.0,140.0,0.0,0.0,21.0,11,1,1,3,2,1,0.0,12.76,21.27,6.38,59.57,0.0,0.0,11.19,5,MARICOPA,American Association of Christian Schools (AACS),,,,,,,,,,,,,,,"2211 W GERMANN RD,CHANDLER,AZ",POINT (-111.8801289 33.2738724),['Chandler Unified District']
273,A0500098,TRINITY CHRISTIAN SCHOOL,3,17,1077 MOGOLLON RD,PRESCOTT,4025,25,AZ,4,86301,9284456306,177.0,7.0,Yes,,,36.0,35.0,36.0,37.0,39.0,41.0,48.0,34.0,32.0,31.0,29.0,24.0,22.0,444.0,444.0,0.0,3.0,42.0,7.0,392.0,0.0,0.0,33.1,13,1,1,3,2,1,0.0,0.67,9.45,1.57,88.28,0.0,0.0,13.41,8,YAVAPAI,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"1077 MOGOLLON RD,PRESCOTT,AZ",POINT (-112.4551763 34.5968354),['Prescott Unified District']
274,K9300086,TRINITY LUTHERAN SCHOOL,2,13,830 E PLZ CIR,LITCHFIELD PARK,4013,13,AZ,4,85340,6239354690,178.0,8.0,Yes,,238.0,37.0,29.0,28.0,27.0,18.0,20.0,18.0,15.0,21.0,,,,,451.0,213.0,3.0,14.0,27.0,9.0,135.0,5.0,20.0,14.4,22,1,1,1,2,2,1.4,6.57,12.67,4.22,63.38,2.34,9.38,14.79,20,MARICOPA,Other religious school association(s),Other school association(s),,,,,,,,,,,,,,"830 E PLZ CIR,LITCHFIELD PARK,AZ",POINT (-112.3434166 33.4921771),['Litchfield Elementary District']
275,A1592152,TUCSON BAPTIST ACADEMY,3,16,1525 S COLUMBUS BLVD,TUCSON,4019,19,AZ,4,85711,5204291569,178.0,7.0,Yes,,,26.0,14.0,18.0,9.0,14.0,9.0,14.0,7.0,9.0,3.0,,1.0,,124.0,124.0,0.0,3.0,37.0,18.0,64.0,2.0,0.0,10.0,11,1,1,3,2,1,0.0,2.41,29.83,14.51,51.61,1.61,0.0,12.4,5,PIMA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"1525 S COLUMBUS BLVD,TUCSON,AZ",POINT (-110.9003091 32.2040137),['Tucson Unified District']
276,A1900154,TUCSON HEBREW ACADEMY,3,13,3888 E RIVER RD,TUCSON,4019,19,AZ,4,85718,5205293888,170.0,7.5,Yes,,,13.0,9.0,11.0,14.0,12.0,18.0,16.0,8.0,13.0,,,,,114.0,114.0,0.0,4.0,89.0,14.0,7.0,0.0,0.0,21.3,11,1,1,1,2,1,0.0,3.5,78.07,12.28,6.14,0.0,0.0,5.35,18,PIMA,Prizmah: Center for Jewish Day Schools (PRIZMAH),,,,,,,,,,,,,,,"3888 E RIVER RD,TUCSON,AZ",POINT (-110.9102293 32.2750981),['Tucson Unified District']
277,A0100515,TUCSON WALDORF SCHOOL,2,13,3605 E RIVER RD,TUCSON,4019,19,AZ,4,85718,5205291032,176.0,6.75,Yes,17.0,40.0,20.0,18.0,22.0,15.0,20.0,10.0,18.0,12.0,13.0,,,,,205.0,165.0,2.0,11.0,34.0,6.0,104.0,0.0,8.0,25.9,21,1,3,1,3,2,1.21,6.66,20.6,3.63,63.03,0.0,4.84,6.37,30,PIMA,Association of Waldorf Schools of North America (AWSNA),Other special emphasis association(s),,,,,,,,,,,,,,"3605 E RIVER RD,TUCSON,AZ",POINT (-110.9155388 32.2774559),['Tucson Unified District']
278,A9700217,UNITED CHRISTIAN SCHOOL,2,13,PO BOX 3126,CAMP VERDE,4025,25,AZ,4,86322,9285670415,147.0,7.5,Yes,,41.0,20.0,19.0,10.0,14.0,8.0,16.0,9.0,5.0,4.0,,,,,146.0,105.0,5.0,4.0,14.0,2.0,79.0,1.0,0.0,8.0,32,1,1,1,2,3,4.76,3.8,13.33,1.9,75.23,0.95,0.0,13.12,8,YAVAPAI,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"PO BOX 3126,CAMP VERDE,AZ",POINT (-111.8543178 34.5636358),['Camp Verde Unified District']
279,A2100231,VALIANT COLLEGE PREPARATORY,11,17,3024 E FILLMORE ST,PHOENIX,4013,13,AZ,4,85008,4807585223,180.0,8.0,No,,,,,,,,,5.0,14.0,18.0,8.0,10.0,3.0,5.0,63.0,63.0,0.0,5.0,46.0,2.0,10.0,0.0,0.0,7.4,11,1,1,3,3,1,0.0,7.93,73.01,3.17,15.87,0.0,0.0,8.51,30,MARICOPA,Other special emphasis association(s),,,,,,,,,,,,,,,"3024 E FILLMORE ST,PHOENIX,AZ",POINT (-112.0165944 33.4551048),"['Phoenix Union High School District', 'Creighton Elementary District']"
280,BB220021,VALLEY CHRISTIAN ELEMENTARY SCHOOL,3,17,6304 S PRICE RD,TEMPE,4013,13,AZ,4,85283,4809007100,180.0,7.5,Yes,65.0,,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,900.0,900.0,,,,,,,,70.4,12,1,1,3,2,1,,,,,,,,12.78,8,MARICOPA,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"6304 S PRICE RD,TEMPE,AZ",POINT (-111.8954991 33.3650628),['Tempe School District']
281,BB220022,VALLEY CHRISTIAN JR HIGH SCHOOL,12,13,1005 E GUADALUPE RD,TEMPE,4013,13,AZ,4,85283,4809007100,180.0,6.16,No,,,,,,,,,,72.0,47.0,,,,,119.0,119.0,,,,,,,,9.9,12,1,1,2,2,1,,,,,,,,12.02,8,MARICOPA,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"1005 E GUADALUPE RD,TEMPE,AZ",POINT (-111.9265013 33.3633478),"['Tempe Union High School District', 'Kyrene Elementary District']"
282,2003327,VALLEY CHRISTIAN SCHOOLS,3,17,6900 W GALVESTON ST,CHANDLER,4013,13,AZ,4,85226,4807058888,180.0,7.16,Yes,,,40.0,50.0,51.0,50.0,47.0,50.0,46.0,72.0,46.0,117.0,129.0,110.0,92.0,900.0,900.0,4.0,20.0,127.0,22.0,674.0,1.0,52.0,58.9,11,1,1,3,2,1,0.44,2.22,14.11,2.44,74.88,0.11,5.77,15.28,8,MARICOPA,Association of Christian Schools International (ACSI),Christian Schools International (CSI),,,,,,,,,,,,,,"6900 W GALVESTON ST,CHANDLER,AZ",POINT (-111.9614922 33.3132681),['Kyrene Elementary District']
283,A9100470,VALLEY LUTHERAN HIGH SCHOOL,14,17,5199 N 7TH AVE,PHOENIX,4013,13,AZ,4,85013,6022301600,180.0,7.0,No,,,,,,,,,,,,31.0,36.0,29.0,38.0,134.0,134.0,5.0,15.0,21.0,4.0,87.0,0.0,2.0,17.6,11,1,1,2,2,1,3.73,11.19,15.67,2.98,64.92,0.0,1.49,7.61,20,MARICOPA,Other religious school association(s),,,,,,,,,,,,,,,"5199 N 7TH AVE,PHOENIX,AZ",POINT (-112.0817809 33.511952),"['Phoenix Union High School District', 'Madison Elementary District']"
284,BB200022,VERDE CHRISTIAN ACADEMY,2,13,102 S WILLARD ST,COTTONWOOD,4025,25,AZ,4,86326,9286348113,150.0,7.5,Yes,,38.0,21.0,16.0,21.0,21.0,20.0,19.0,13.0,19.0,18.0,,,,,206.0,168.0,0.0,0.0,33.0,1.0,127.0,2.0,5.0,11.8,32,1,1,1,2,3,0.0,0.0,19.64,0.59,75.59,1.19,2.97,14.23,8,YAVAPAI,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"102 S WILLARD ST,COTTONWOOD,AZ",POINT (-112.0289391 34.73778679999999),['Cottonwood-Oak Creek Elementary District']
285,32156,VERDE VALLEY SCHOOL,14,17,3511 VERDE VALLEY SCHOOL RD,SEDONA,4025,25,AZ,4,86351,9282842272,195.0,10.0,No,,,,,,,,,,,,24.0,31.0,31.0,29.0,115.0,115.0,3.0,12.0,10.0,5.0,55.0,0.0,30.0,17.5,41,1,1,2,3,4,2.6,10.43,8.69,4.34,47.82,0.0,26.08,6.57,30,YAVAPAI,National Association of Independent Schools (NAIS),The Association of Boarding Schools (TABS),,,,,,,,,,,,,,"3511 VERDE VALLEY SCHOOL RD,SEDONA,AZ",POINT (-111.8046557 34.8090656),['Sedona-Oak Creek Joint Unified District']
286,A1700085,VERITAS ACADEMY OF TUCSON,3,17,2151 N PALO VERDE BLVD,TUCSON,4019,19,AZ,4,85716,5205760427,170.0,7.0,No,,,17.0,21.0,16.0,19.0,19.0,19.0,14.0,24.0,10.0,11.0,6.0,,9.0,185.0,185.0,0.0,2.0,35.0,4.0,144.0,0.0,0.0,17.4,11,1,3,3,2,1,0.0,1.08,18.91,2.16,77.83,0.0,0.0,10.63,29,PIMA,Association of Christian Schools International (ACSI),Association of Classical Christian Schools (ACCS),Christian Schools International (CSI),,,,,,,,,,,,,"2151 N PALO VERDE BLVD,TUCSON,AZ",POINT (-110.9187637 32.24808),['Tucson Unified District']
287,A0100657,VERITAS CHRISTIAN COMMUNITY SCHOOL,3,17,215 TAYLOR DR,SIERRA VISTA,4003,3,AZ,4,85635,5204171113,180.0,7.0,No,,,13.0,8.0,10.0,11.0,9.0,12.0,7.0,17.0,12.0,11.0,9.0,3.0,6.0,128.0,128.0,1.0,1.0,10.0,5.0,70.0,0.0,41.0,13.9,13,1,1,3,2,1,0.78,0.78,7.81,3.9,54.68,0.0,32.03,9.2,8,COCHISE,Association of Classical Christian Schools (ACCS),,,,,,,,,,,,,,,"215 TAYLOR DR,SIERRA VISTA,AZ",POINT (-110.3038473 31.5613287),['Sierra Vista Unified District']
288,A2100232,VICTORY AUTISM ACADEMY,3,16,1781 N CENTRAL AVE,GOODYEAR,4013,13,AZ,4,85338,6232488624,185.0,6.5,No,,,15.0,20.0,14.0,17.0,22.0,12.0,7.0,12.0,8.0,6.0,1.0,1.0,,135.0,135.0,0.0,0.0,30.0,10.0,90.0,0.0,5.0,11.0,22,1,4,3,3,2,0.0,0.0,22.22,7.4,66.66,0.0,3.7,12.27,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"1781 N CENTRAL AVE,GOODYEAR,AZ",POINT (-112.3489805 33.456468),['Avondale Elementary District']
289,A0900159,VILLE DE MARIE ACADEMY,3,17,8524 E THOMAS RD,SCOTTSDALE,4013,13,AZ,4,85251,4809479441,178.0,7.25,No,,,18.0,18.0,17.0,17.0,18.0,17.0,18.0,18.0,18.0,20.0,15.0,15.0,13.0,222.0,222.0,4.0,6.0,10.0,4.0,174.0,6.0,18.0,15.6,12,1,1,3,1,1,1.8,2.7,4.5,1.8,78.37,2.7,8.1,14.23,1,MARICOPA,Other school association(s),,,,,,,,,,,,,,,"8524 E THOMAS RD,SCOTTSDALE,AZ",POINT (-111.8970086 33.4809279),['Scottsdale Unified District']
290,A0900160,VISION CHRISTIAN ACADEMY,2,17,13419 W OCOTILLO RD,GLENDALE,4013,13,AZ,4,85307,1623396752,180.0,6.5,Yes,,2.0,5.0,2.0,2.0,5.0,4.0,,5.0,1.0,,3.0,1.0,3.0,3.0,36.0,34.0,0.0,2.0,17.0,0.0,15.0,0.0,0.0,7.4,22,1,1,3,2,2,0.0,5.88,50.0,0.0,44.11,0.0,0.0,4.59,5,MARICOPA,American Association of Christian Schools (AACS),,,,,,,,,,,,,,,"13419 W OCOTILLO RD,GLENDALE,AZ",POINT (-112.3491548 33.5320497),['Litchfield Elementary District']
291,A0900147,WEST VALLEY CHRISTAIN SCHOOL,3,13,16260 W VAN BUREN ST,GOODYEAR,4013,13,AZ,4,85338,6232342100,143.0,7.0,Yes,,,34.0,31.0,29.0,35.0,27.0,21.0,22.0,31.0,16.0,,,,,246.0,246.0,5.0,3.0,51.0,4.0,153.0,0.0,30.0,21.3,22,1,1,1,2,2,2.03,1.21,20.73,1.62,62.19,0.0,12.19,11.54,8,MARICOPA,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"16260 W VAN BUREN ST,GOODYEAR,AZ",POINT (-112.4083474 33.4512169),['Avondale Elementary District']
292,A9100477,WICKENBURG CHRISTIAN ACADEMY,2,17,260 W YAVAPAI ST,WICKENBURG,4013,13,AZ,4,85390,9286845916,139.0,7.5,No,,37.0,13.0,16.0,18.0,16.0,16.0,9.0,15.0,16.0,13.0,6.0,4.0,7.0,6.0,192.0,155.0,1.0,2.0,35.0,0.0,117.0,0.0,0.0,23.4,32,1,1,3,2,3,0.64,1.29,22.58,0.0,75.48,0.0,0.0,6.62,8,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"260 W YAVAPAI ST,WICKENBURG,AZ",POINT (-112.7367602 33.9682141),['Wickenburg Unified District']
293,A1970309,WILKINS LEARNING CENTER,2,3,730 S COOPER RD STE C,GILBERT,4013,13,AZ,4,85233,4808132796,181.0,5.5,No,,118.0,12.0,,,,,,,,,,,,,130.0,12.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,21,1,7,1,3,2,0.0,0.0,0.0,8.33,83.33,0.0,8.33,12.0,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"730 S COOPER RD STE C,GILBERT,AZ",POINT (-111.8076956 33.2950427),['Chandler Unified District']
294,31265,XAVIER COLLEGE PREPARATORY,14,17,4710 N 5TH ST,PHOENIX,4013,13,AZ,4,85012,6022773772,180.0,7.0,Yes,,,,,,,,,,,,277.0,304.0,280.0,261.0,1122.0,1122.0,12.0,46.0,241.0,25.0,717.0,6.0,75.0,79.0,11,2,1,2,1,1,1.06,4.09,21.47,2.22,63.9,0.53,6.68,14.2,1,MARICOPA,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,,,,,,,,,"4710 N 5TH ST,PHOENIX,AZ",POINT (-112.0658219 33.5053346),"['Phoenix Union High School District', 'Osborn Elementary District']"
295,A1500117,YESHIVA HIGH SCHOOL OF ARIZONA,14,17,7045 N 12TH ST,PHOENIX,4013,13,AZ,4,85020,6022661213,181.0,10.25,Yes,,,,,,,,,,,,10.0,9.0,5.0,7.0,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,8.9,11,3,1,2,2,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,3.48,18,MARICOPA,National Society for Hebrew Day Schools (Torah Umesorah),,,,,,,,,,,,,,,"7045 N 12TH ST,PHOENIX,AZ",POINT (-112.0557255 33.539842),"['Phoenix Union High School District', 'Madison Elementary District']"
296,A0300075,YOUTH DEVELOPMENT INSTITUTE,12,17,1830 E ROOSEVELT ST,PHOENIX,4013,13,AZ,4,85006,6022565350,216.0,6.25,Yes,,,,,,,,,,1.0,7.0,9.0,22.0,21.0,8.0,68.0,68.0,11.0,0.0,17.0,9.0,30.0,0.0,1.0,7.0,11,1,6,2,3,1,16.17,0.0,25.0,13.23,44.11,0.0,1.47,9.71,30,MARICOPA,Other association(s) for exceptional children,,,,,,,,,,,,,,,"1830 E ROOSEVELT ST,PHOENIX,AZ",POINT (-112.0426325 33.4592935),"['Phoenix Union High School District', 'Phoenix Elementary District']"
297,A1700088,YUMA ADVENTIST CHRISTIAN SCHOOL,3,13,1681 S 6TH AVE,YUMA,4027,27,AZ,4,85364,9287830457,180.0,7.5,Yes,,,2.0,2.0,,2.0,1.0,6.0,2.0,5.0,3.0,,,,,23.0,23.0,4.0,1.0,13.0,2.0,3.0,0.0,0.0,2.0,13,1,1,1,2,1,17.39,4.34,56.52,8.69,13.04,0.0,0.0,11.5,28,YUMA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,,,,,,,,,"1681 S 6TH AVE,YUMA,AZ",POINT (-114.6265317 32.6971405),['Yuma Elementary District']
298,A0300076,YUMA CATHOLIC HIGH SCHOOL,14,17,2100 W 28TH ST,YUMA,4027,27,AZ,4,85364,9283177914,180.0,7.0,No,,,,,,,,,,,,135.0,124.0,113.0,116.0,488.0,488.0,1.0,9.0,301.0,7.0,141.0,0.0,29.0,28.3,13,1,1,2,1,1,0.2,1.84,61.68,1.43,28.89,0.0,5.94,17.24,1,YUMA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"2100 W 28TH ST,YUMA,AZ",POINT (-114.6446332 32.6767475),"['Yuma Union High School District', 'Crane Elementary District']"
299,32043,YUMA LUTHERAN SCHOOL,2,13,2555 S ENGLER AVE,YUMA,4027,27,AZ,4,85365,9287268410,170.0,7.0,Yes,,24.0,48.0,48.0,48.0,48.0,48.0,57.0,48.0,48.0,48.0,,,,,465.0,441.0,5.0,4.0,67.0,3.0,362.0,0.0,0.0,24.6,13,1,1,1,2,1,1.13,0.9,15.19,0.68,82.08,0.0,0.0,17.92,20,YUMA,Association of Christian Schools International (ACSI),Other religious school association(s),Other school association(s),,,,,,,,,,,,,"2555 S ENGLER AVE,YUMA,AZ",POINT (-114.5939424 32.6810648),['Yuma Elementary District']
