,PSS_SCHOOL_ID,PSS_INST,LOGRADE,HIGRADE,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15,FULL_ADDRESS,COORDINATE,DISTRICTS
231,30884,ST CHARLES APACHE MISSION SCHOOL,3,11,PO BOX 339,SAN CARLOS,4007,7,AZ,4,85550,9284752449,183.0,8.0,No,,,21.0,17.0,23.0,19.0,17.0,16.0,13.0,,,,,,,126.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33,1,1,1,1,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,1,GILA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"PO BOX 339,SAN CARLOS,AZ",POINT (-110.4531551 33.3453349),['San Carlos Unified District']
232,A2100223,ST DOMINIC SAVIO ACADEMY,2,4,550 W WARNER RD,CHANDLER,4013,13,AZ,4,85225,4806595456,206.0,6.5,Yes,26.0,11.0,6.0,,,,,,,,,,,,,43.0,32.0,,,4.0,2.0,,,,3.0,11,1,4,1,3,1,,,12.5,6.25,,,,10.66,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"550 W WARNER RD,CHANDLER,AZ",POINT (-111.8500894 33.3356819),['Mesa Unified District']
233,A1900147,ST ELIZABETH ANN SETON SCHOOL,2,13,8650 N SHANNON RD,TUCSON,4019,19,AZ,4,85742,5202197629,180.0,7.0,Yes,,51.0,25.0,29.0,32.0,32.0,30.0,33.0,28.0,36.0,36.0,,,,,332.0,281.0,0.0,12.0,156.0,4.0,106.0,0.0,3.0,20.9,21,1,1,1,1,2,0.0,4.27,55.51,1.42,37.72,0.0,1.06,13.44,1,PIMA,National Catholic Educational Association (NCEA),Other school association(s),,,,,,,,,,,,,,"8650 N SHANNON RD,TUCSON,AZ",POINT (-111.026888 32.3635902),['Amphitheater Unified District']
234,31061,ST FRANCIS OF ASSISI SCHOOL,2,13,700 W 18TH ST,YUMA,4027,27,AZ,4,85364,9287821539,180.0,7.25,Yes,,13.0,23.0,25.0,25.0,26.0,26.0,26.0,30.0,27.0,25.0,,,,,246.0,233.0,1.0,3.0,137.0,3.0,81.0,4.0,4.0,12.0,13,1,1,1,1,1,0.42,1.28,58.79,1.28,34.76,1.71,1.71,19.41,1,YUMA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"700 W 18TH ST,YUMA,AZ",POINT (-114.6280276 32.6944184),['Yuma Elementary District']
235,31345,ST GREGORY ELEMENTARY SCHOOL,2,13,3440 N 18TH AVE,PHOENIX,4013,13,AZ,4,85015,6022669527,180.0,6.75,Yes,,35.0,25.0,34.0,41.0,40.0,34.0,32.0,37.0,41.0,34.0,,,,,353.0,318.0,2.0,9.0,260.0,14.0,29.0,0.0,4.0,19.4,11,1,1,1,1,1,0.62,2.83,81.76,4.4,9.11,0.0,1.25,16.39,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"3440 N 18TH AVE,PHOENIX,AZ",POINT (-112.0989565 33.488627),['Osborn Elementary District']
236,A1990034,ST GREGORY SCHOOL,2,13,3440 N 18TH AVE,PHOENIX,4013,13,AZ,4,85015,6022669527,180.0,6.5,Yes,,38.0,26.0,34.0,41.0,40.0,34.0,32.0,37.0,41.0,34.0,,,,,357.0,319.0,3.0,10.0,251.0,16.0,34.0,0.0,5.0,19.4,11,1,1,1,1,1,0.94,3.13,78.68,5.01,10.65,0.0,1.56,16.44,1,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"3440 N 18TH AVE,PHOENIX,AZ",POINT (-112.0989565 33.488627),['Osborn Elementary District']
237,31334,ST JEROME ELEMENTARY SCHOOL,2,13,10815 N 35TH AVE,PHOENIX,4013,13,AZ,4,85029,6029425644,180.0,7.5,Yes,,19.0,42.0,20.0,20.0,21.0,10.0,15.0,17.0,25.0,25.0,,,,,214.0,195.0,0.0,14.0,115.0,10.0,50.0,1.0,5.0,11.0,11,1,1,1,1,1,0.0,7.17,58.97,5.12,25.64,0.51,2.56,17.72,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"10815 N 35TH AVE,PHOENIX,AZ",POINT (-112.1330464 33.5846807),['Washington Elementary District']
238,A0500090,ST JOHN BOSCO CATHOLIC,2,13,16035 S 48TH ST,PHOENIX,4013,13,AZ,4,85048,4802194848,180.0,7.16,Yes,,51.0,37.0,41.0,48.0,41.0,28.0,20.0,40.0,18.0,33.0,,,,,357.0,306.0,7.0,16.0,106.0,5.0,151.0,2.0,19.0,17.9,11,1,1,1,1,1,2.28,5.22,34.64,1.63,49.34,0.65,6.2,17.09,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"16035 S 48TH ST,PHOENIX,AZ",POINT (-111.9790539 33.3013157),['Kyrene Elementary District']
239,A2190044,ST JOHN PAUL II CATHOLIC HIGH SCHOOL,14,17,3120 N 137TH AVE,AVONDALE,4013,13,AZ,4,85392,6232332777,183.0,6.5,Yes,,,,,,,,,,,,106.0,74.0,69.0,84.0,333.0,333.0,0.0,23.0,235.0,4.0,53.0,1.0,17.0,24.6,22,1,1,2,1,2,0.0,6.9,70.57,1.2,15.91,0.3,5.1,13.53,1,MARICOPA,Other religious school association(s),,,,,,,,,,,,,,,"3120 N 137TH AVE,AVONDALE,AZ",POINT (-112.3554293 33.4824888),"['Agua Fria Union High School District', 'Litchfield Elementary District']"
240,A2100224,ST JOHN PAUL II ROMAN CATHOLIC HIGH SCHOOL,14,17,3120 N 137TH AVE,AVONDALE,4013,13,AZ,4,85392,6232332777,182.0,6.5,Yes,,,,,,,,,,,,106.0,74.0,69.0,84.0,333.0,333.0,0.0,22.0,237.0,4.0,52.0,1.0,17.0,27.6,22,1,3,2,1,2,0.0,6.6,71.17,1.2,15.61,0.3,5.1,12.06,1,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"3120 N 137TH AVE,AVONDALE,AZ",POINT (-112.3554293 33.4824888),"['Agua Fria Union High School District', 'Litchfield Elementary District']"
